city,state,2020 census,2020 land area,location,lat,long
Long Beach,California,466742,131.3 km2,33°48′N 118°09′W﻿ / ﻿33.80°N 118.15°W,33.8,-118.15
Miami,Florida,442241,93.2 km2,25°46′N 80°12′W﻿ / ﻿25.77°N 80.20°W,25.766666666666666,-80.2
Oakland,California,440646,144.8 km2,37°46′N 122°13′W﻿ / ﻿37.76°N 122.22°W,37.766666666666666,-122.21666666666668
Minneapolis,Minnesota,429954,139.9 km2,44°58′N 93°16′W﻿ / ﻿44.96°N 93.26°W,44.96666666666667,-93.26666666666668
Tulsa,Oklahoma,413066,511.5 km2,36°07′N 95°54′W﻿ / ﻿36.12°N 95.90°W,36.11666666666667,-95.9
Bakersfield,California,403455,388.0 km2,35°19′N 119°01′W﻿ / ﻿35.32°N 119.01°W,35.31666666666667,-119.01666666666668
Wichita,Kansas,397532,419.6 km2,37°41′N 97°20′W﻿ / ﻿37.69°N 97.34°W,37.68333333333333,-97.33333333333331
Arlington,Texas,394266,248.4 km2,32°42′N 97°07′W﻿ / ﻿32.70°N 97.12°W,32.7,-97.11666666666666
Aurora,Colorado,386261,414.7 km2,39°41′N 104°41′W﻿ / ﻿39.68°N 104.68°W,39.68333333333333,-104.68333333333334
Tampa,Florida,384959,295.3 km2,27°58′N 82°28′W﻿ / ﻿27.97°N 82.47°W,27.966666666666665,-82.46666666666667
New Orleans[n],Louisiana,383997,439.0 km2,30°03′N 89°56′W﻿ / ﻿30.05°N 89.93°W,30.05,-89.93333333333334
Cleveland,Ohio,372624,201.2 km2,41°28′N 81°40′W﻿ / ﻿41.47°N 81.67°W,41.46666666666667,-81.66666666666667
Anaheim,California,346824,130.3 km2,33°51′N 117°46′W﻿ / ﻿33.85°N 117.76°W,33.85,-117.76666666666668
Honolulu[o],Hawaii,350964,156.7 km2,21°19′N 157°50′W﻿ / ﻿21.32°N 157.84°W,21.316666666666663,-157.83333333333334
