,2021 rank,City,State[c],2020 census,2020 land area.1,Location
298,299,Nampa,Idaho,100200,86.8 km2,43°34′N 116°34′W﻿ / ﻿43.57°N 116.56°W
299,300,Spokane Valley,Washington,102976,97.6 km2,47°40′N 117°14′W﻿ / ﻿47.67°N 117.23°W
300,301,Rio Rancho,New Mexico,104046,267.8 km2,35°17′N 106°40′W﻿ / ﻿35.29°N 106.67°W
301,302,Brockton,Massachusetts,105643,55.2 km2,42°05′N 71°01′W﻿ / ﻿42.08°N 71.02°W
302,303,El Cajon,California,106215,37.6 km2,32°48′N 116°58′W﻿ / ﻿32.80°N 116.96°W
303,304,Burbank,California,107337,44.8 km2,34°11′N 118°19′W﻿ / ﻿34.19°N 118.32°W
304,305,Inglewood,California,107762,23.6 km2,33°57′N 118°20′W﻿ / ﻿33.95°N 118.34°W
305,306,Renton,Washington,106785,60.9 km2,47°28′N 122°11′W﻿ / ﻿47.47°N 122.19°W
306,307,Davie,Florida,105691,90.4 km2,26°04′N 80°17′W﻿ / ﻿26.07°N 80.28°W
307,308,Rialto,California,104026,62.4 km2,34°07′N 117°23′W﻿ / ﻿34.11°N 117.38°W
308,309,Boulder,Colorado,108250,68.1 km2,40°01′N 105°15′W﻿ / ﻿40.02°N 105.25°W
309,310,South Bend,Indiana,103453,108.8 km2,41°40′N 86°16′W﻿ / ﻿41.67°N 86.26°W
310,311,Woodbridge,New Jersey,103639,60.3 km2,40°34′N 74°17′W﻿ / ﻿40.56°N 74.28°W
311,312,Vacaville,California,102386,77.4 km2,38°21′N 121°58′W﻿ / ﻿38.35°N 121.97°W
312,313,Wichita Falls,Texas,102316,186.5 km2,33°54′N 98°31′W﻿ / ﻿33.90°N 98.52°W
313,314,Lee's Summit,Missouri,101108,165.5 km2,38°55′N 94°22′W﻿ / ﻿38.92°N 94.37°W
314,315,Edinburg,Texas,100243,115.8 km2,26°18′N 98°10′W﻿ / ﻿26.30°N 98.16°W
315,316,Chico,California,101475,88.3 km2,39°44′N 121°50′W﻿ / ﻿39.74°N 121.83°W
316,317,San Mateo,California,105661,31.3 km2,37°34′N 122°19′W﻿ / ﻿37.56°N 122.31°W
317,318,Bend,Oregon,99178,87.0 km2,44°18′N 121°11′W﻿ / ﻿44.30°N 121.18°W
318,319,Goodyear,Arizona,95294,495.5 km2,33°27′N 112°22′W﻿ / ﻿33.45°N 112.36°W
319,320,Buckeye,Arizona,91502,"1,017.9 km2",33°22′N 112°35′W﻿ / ﻿33.37°N 112.59°W
320,321,Daly City,California,104901,19.7 km2,37°42′N 122°28′W﻿ / ﻿37.70°N 122.46°W
321,322,Fishers,Indiana,98977,92.2 km2,39°58′N 86°01′W﻿ / ﻿39.96°N 86.01°W
322,323,Quincy,Massachusetts,101636,43.0 km2,42°15′N 71°00′W﻿ / ﻿42.25°N 71.00°W
323,324,Davenport,Iowa,101724,165.2 km2,41°33′N 90°36′W﻿ / ﻿41.55°N 90.60°W
324,325,Hesperia,California,99818,188.3 km2,34°25′N 117°19′W﻿ / ﻿34.41°N 117.31°W
325,326,New Bedford,Massachusetts,101079,51.8 km2,41°38′N 70°56′W﻿ / ﻿41.64°N 70.93°W
326,327,Lynn,Massachusetts,101253,27.7 km2,42°28′N 70°57′W﻿ / ﻿42.47°N 70.95°W
327,328,Carmel,Indiana,99757,127.2 km2,39°35′N 86°36′W﻿ / ﻿39.58°N 86.60°W
328,329,Longmont,Colorado,98885,74.6 km2,40°10′N 105°07′W﻿ / ﻿40.17°N 105.11°W
329,330,Tuscaloosa,Alabama,99600,160.3 km2,33°13′N 87°32′W﻿ / ﻿33.21°N 87.53°W
